Instance,Size,Best known,Algorithm,Runs,Feasible runs,Best cost,Mean cost,Median cost,Std dev,Worst cost,Best gap %,Mean gap %
A-n65-k9,65,1174,qpso,10,10,1177.00,1180.60,1181.00,2.37,1184.00,0.26,0.56
A-n65-k9,65,1174,random,10,10,1178.00,1180.80,1181.00,1.75,1184.00,0.34,0.58
A-n65-k9,65,1174,sa,10,10,1177.00,1178.20,1177.00,2.25,1184.00,0.26,0.36
P-n76-k4,76,593,aco,10,10,593.00,594.00,593.00,1.89,599.00,0.00,0.17
P-n76-k4,76,593,ga,10,10,593.00,593.80,594.00,0.79,595.00,0.00,0.13
P-n76-k4,76,593,ortools,10,10,611.00,611.00,611.00,0.00,611.00,3.04,3.04
P-n76-k4,76,593,pso,10,10,594.00,597.70,598.50,1.95,600.00,0.17,0.79
P-n76-k4,76,593,pyvrp,10,10,594.00,595.80,595.00,1.99,600.00,0.17,0.47
P-n76-k4,76,593,qiea,10,10,593.00,594.10,594.50,0.99,595.00,0.00,0.19
P-n76-k4,76,593,qpso,10,10,593.00,595.00,595.00,1.49,598.00,0.00,0.34
P-n76-k4,76,593,random,10,10,595.00,599.80,600.00,2.44,603.00,0.34,1.15
P-n76-k4,76,593,sa,10,10,594.00,598.80,599.50,3.22,603.00,0.17,0.98
B-n78-k10,78,1221,aco,10,10,1224.00,1224.90,1225.00,0.57,1226.00,0.25,0.32
B-n78-k10,78,1221,ga,10,10,1222.00,1226.70,1225.00,5.21,1236.00,0.08,0.47
B-n78-k10,78,1221,ortools,10,10,1254.00,1254.00,1254.00,0.00,1254.00,2.70,2.70
B-n78-k10,78,1221,pso,10,10,1240.00,1247.80,1249.50,5.33,1257.00,1.56,2.19
B-n78-k10,78,1221,pyvrp,10,10,1221.00,1221.50,1221.00,1.58,1226.00,0.00,0.04
B-n78-k10,78,1221,qiea,10,10,1223.00,1225.00,1224.00,1.94,1229.00,0.16,0.33
B-n78-k10,78,1221,qpso,10,10,1224.00,1236.50,1239.00,7.75,1248.00,0.25,1.27
B-n78-k10,78,1221,random,10,10,1232.00,1244.70,1244.00,8.14,1254.00,0.90,1.94
B-n78-k10,78,1221,sa,10,10,1227.00,1237.40,1238.50,8.13,1249.00,0.49,1.34
A-n80-k10,80,1763,aco,10,10,1764.00,1767.30,1767.50,2.79,1772.00,0.06,0.24
A-n80-k10,80,1763,ga,10,10,1764.00,1773.10,1774.00,6.67,1784.00,0.06,0.57
A-n80-k10,80,1763,ortools,10,10,1827.00,1827.00,1827.00,0.00,1827.00,3.63,3.63
A-n80-k10,80,1763,pso,10,10,1785.00,1797.10,1798.50,6.52,1806.00,1.25,1.93
A-n80-k10,80,1763,pyvrp,10,10,1763.00,1770.90,1770.50,8.36,1780.00,0.00,0.45
A-n80-k10,80,1763,qiea,10,10,1764.00,1772.00,1773.00,5.54,1779.00,0.06,0.51
A-n80-k10,80,1763,qpso,10,10,1781.00,1787.70,1787.50,4.06,1795.00,1.02,1.40
A-n80-k10,80,1763,random,10,10,1793.00,1803.80,1804.50,6.84,1812.00,1.70,2.31
A-n80-k10,80,1763,sa,10,10,1785.00,1795.50,1795.00,6.74,1807.00,1.25,1.84
P-n101-k4,101,681,aco,10,10,681.00,681.20,681.00,0.42,682.00,0.00,0.03
P-n101-k4,101,681,ga,10,10,681.00,681.00,681.00,0.00,681.00,0.00,0.00
P-n101-k4,101,681,ortools,10,10,698.00,698.00,698.00,0.00,698.00,2.50,2.50
P-n101-k4,101,681,pso,10,10,681.00,682.60,682.00,1.78,687.00,0.00,0.23
P-n101-k4,101,681,pyvrp,10,10,681.00,681.70,681.00,1.06,684.00,0.00,0.10
